run,arch,condition,k,fold,seed,n_synthetic,best_step,val_dice,dedup,test_dice,test_iou,test_precision,test_recall,test_pooled_dice,cell
attention_all_f0_s123,attention,all,1003,0,123,1003,1100,0.7464834712445736,False,0.8216879479587078,0.7187250711023807,0.7937622174620629,0.8862916529178619,0.8583821661041803,all
attention_all_f0_s42,attention,all,1003,0,42,1003,1200,0.781087338924408,False,0.8415337257087231,0.7479754202067852,0.8235632188618183,0.897532069683075,0.8756222285121238,all
attention_all_f0_s456,attention,all,1003,0,456,1003,1200,0.749125512316823,False,0.8184405967593193,0.7167368201538921,0.7955315874889493,0.8685263395309448,0.8554790775706465,all
attention_all_f1_s123,attention,all,1003,1,123,1003,1100,0.8135495148599148,False,0.8275930553674697,0.7198459096252918,0.8063762865960598,0.872771292924881,0.85741354449112,all
attention_all_f1_s42,attention,all,1003,1,42,1003,800,0.8274098299443722,False,0.8325379073619843,0.7270439073443413,0.8046146728098392,0.8887383043766022,0.8627210909981352,all
attention_all_f1_s456,attention,all,1003,1,456,1003,1200,0.8306096382439137,False,0.8349941849708558,0.7334178887307644,0.816865710914135,0.8816745311021805,0.8663632272434674,all
attention_all_f2_s123,attention,all,1003,2,123,1003,1100,0.8293721303343773,False,0.8105133920907974,0.703842587582767,0.7922464001923799,0.8699019640684128,0.845421729988331,all
attention_all_f2_s42,attention,all,1003,2,42,1003,1000,0.8428528271615505,False,0.8248487867414951,0.7229539670050145,0.7924788627773524,0.8958254486322403,0.859245953853561,all
attention_all_f2_s456,attention,all,1003,2,456,1003,1200,0.851321917027235,False,0.8243917793035507,0.7203037034720182,0.7956497702747584,0.8898626059293747,0.8584852394039674,all
attention_all_f3_s123,attention,all,1003,3,123,1003,1100,0.8188679218292236,False,0.8200378477573395,0.7153123617172241,0.7988206550478936,0.8826037794351578,0.8563542144570883,all
attention_all_f3_s42,attention,all,1003,3,42,1003,1100,0.8349032402038574,False,0.8353288739919662,0.7384793788194657,0.8079374868422746,0.8978230088949204,0.8698654695121496,all
attention_all_f3_s456,attention,all,1003,3,456,1003,1100,0.8174298144876957,False,0.8268914759159088,0.7228819899260998,0.8005673922598362,0.8839872598648071,0.859668640962671,all
attention_all_f4_s123,attention,all,1003,4,123,1003,1100,0.7844260428100824,False,0.828748744726181,0.7262739062309265,0.8037762098014355,0.8855886429548263,0.8628313179430805,all
attention_all_f4_s42,attention,all,1003,4,42,1003,1100,0.8091655881144106,False,0.8491947650909424,0.753040012717247,0.829401758313179,0.8959679991006851,0.8795931659143922,all
attention_all_f4_s456,attention,all,1003,4,456,1003,1200,0.7818535452242941,False,0.8253031969070435,0.719766341894865,0.8025278359651565,0.8797112822532653,0.8572199607849798,all
attention_antifiltered250_f0_s123,attention,antifiltered,250,0,123,250,1100,0.7367700692266226,False,0.7846850998699665,0.6616614099591971,0.7448067583143712,0.8694205462932587,0.8158872287513905,antifiltered250
attention_antifiltered250_f0_s42,attention,antifiltered,250,0,42,250,900,0.7483486197888851,False,0.7956910833716393,0.6741692908108234,0.763674808293581,0.8662759095430375,0.8242607770942865,antifiltered250
attention_antifiltered250_f0_s456,attention,antifiltered,250,0,456,250,1200,0.7354764174669981,False,0.80640829205513,0.6794066399335861,0.7551266074180603,0.8792686402797699,0.8176510938891078,antifiltered250
attention_antifiltered250_f1_s123,attention,antifiltered,250,1,123,250,1200,0.7790148369967937,False,0.7932417742908001,0.6738825615495443,0.7659334387630224,0.8615058183670044,0.8232037835809528,antifiltered250
attention_antifiltered250_f1_s42,attention,antifiltered,250,1,42,250,1100,0.8156039454042912,False,0.8394013866782188,0.7332169055938721,0.8133384138345718,0.888722762465477,0.8582027735463112,antifiltered250
attention_antifiltered250_f1_s456,attention,antifiltered,250,1,456,250,1100,0.7945880070328712,False,0.7969952210783958,0.6736138969659805,0.7588336527347564,0.8682655483484268,0.8233151385644216,antifiltered250
attention_antifiltered250_f2_s123,attention,antifiltered,250,2,123,250,1200,0.8301178403198719,False,0.8030330136418342,0.6792206659913063,0.7807150617241859,0.8450882315635682,0.8261839027642288,antifiltered250
attention_antifiltered250_f2_s42,attention,antifiltered,250,2,42,250,1200,0.8457996286451817,False,0.818185193836689,0.7019049674272537,0.7822450488805771,0.8759206384420395,0.8434469227361233,antifiltered250
attention_antifiltered250_f2_s456,attention,antifiltered,250,2,456,250,1200,0.8471057489514351,False,0.8312374651432037,0.7152167931199074,0.8221955001354218,0.8470913767814636,0.8424581133632314,antifiltered250
attention_antifiltered250_f3_s123,attention,antifiltered,250,3,123,250,1200,0.7587731517851353,False,0.7652352191507816,0.6374234117567539,0.7364715326577425,0.8395375728607177,0.8011281511514998,antifiltered250
attention_antifiltered250_f3_s42,attention,antifiltered,250,3,42,250,1100,0.7845153249800205,False,0.784815176576376,0.6645082652568817,0.735031645745039,0.8860050916671753,0.8206433587582878,antifiltered250
attention_antifiltered250_f3_s456,attention,antifiltered,250,3,456,250,1200,0.773186095058918,False,0.7796219110488891,0.6508050620555877,0.739334137737751,0.8555507570505142,0.808345991592219,antifiltered250
attention_antifiltered250_f4_s123,attention,antifiltered,250,4,123,250,1100,0.754629853181541,False,0.7765302039682865,0.6513700287789106,0.7401675511151552,0.8542876094579697,0.8081903940369154,antifiltered250
attention_antifiltered250_f4_s42,attention,antifiltered,250,4,42,250,1100,0.8087014146149158,False,0.8206478103995323,0.7067734114825726,0.7874992966651917,0.8836552739143372,0.8434849566585803,antifiltered250
attention_antifiltered250_f4_s456,attention,antifiltered,250,4,456,250,1200,0.7458895901218057,False,0.7811052784323692,0.6508910663425922,0.74900306686759,0.8482940524816514,0.8051408474342383,antifiltered250
attention_filtered250_f0_s123,attention,filtered,250,0,123,250,800,0.739348828792572,False,0.796164758503437,0.6913024231791496,0.7730200968682766,0.8706882417201995,0.8382135748963003,filtered250
attention_filtered250_f0_s42,attention,filtered,250,0,42,250,1000,0.73410265147686,False,0.8075385961681605,0.7092177984304726,0.8189628186635673,0.8367691457271575,0.8444892976942225,filtered250
attention_filtered250_f0_s456,attention,filtered,250,0,456,250,1100,0.7503493186086416,False,0.7891748264431954,0.6842424139380455,0.7743350610136985,0.8598817735910416,0.8292508686691876,filtered250
attention_filtered250_f1_s123,attention,filtered,250,1,123,250,1200,0.8313443027436733,False,0.8058338563889265,0.7030015213415026,0.8034845059737563,0.853545543551445,0.8417378800875673,filtered250
attention_filtered250_f1_s42,attention,filtered,250,1,42,250,1100,0.8258224837481976,False,0.8021775044500827,0.6993215117603541,0.7862196326255798,0.8749097585678101,0.8377707985199332,filtered250
attention_filtered250_f1_s456,attention,filtered,250,1,456,250,900,0.8196908421814442,False,0.7970115024596452,0.6916438875719905,0.7735284233465791,0.8575070917606353,0.8353896497394255,filtered250
attention_filtered250_f2_s123,attention,filtered,250,2,123,250,1200,0.839900366961956,False,0.798654585701297,0.6977112054461031,0.7928131449370994,0.8155334278941154,0.8361867888002267,filtered250
attention_filtered250_f2_s42,attention,filtered,250,2,42,250,1100,0.8486179150640965,False,0.8109933525323868,0.712526497989893,0.8071459203958511,0.8599993288516998,0.851599950285381,filtered250
attention_filtered250_f2_s456,attention,filtered,250,2,456,250,1200,0.8448934238404036,False,0.8089306272566319,0.7099035507068038,0.8026047229766846,0.8587205469608307,0.8470932664157257,filtered250
attention_filtered250_f3_s123,attention,filtered,250,3,123,250,900,0.7998377196490765,False,0.8055349212139845,0.7031464535742998,0.800066327303648,0.86078921854496,0.8408591143463755,filtered250
attention_filtered250_f3_s42,attention,filtered,250,3,42,250,900,0.8104656301438808,False,0.8196574211120605,0.7238031396642327,0.8170387970283628,0.8549217015504837,0.8589419497173324,filtered250
attention_filtered250_f3_s456,attention,filtered,250,3,456,250,1100,0.7896265275776386,False,0.7967956371605396,0.6932394739240408,0.7809065451845527,0.8588813573122025,0.834160329697552,filtered250
attention_filtered250_f4_s123,attention,filtered,250,4,123,250,1100,0.7566639113065321,False,0.8020289197564126,0.7002272760495544,0.7935153611004353,0.8634535878896713,0.8406748845770844,filtered250
attention_filtered250_f4_s42,attention,filtered,250,4,42,250,1100,0.7658632905222476,False,0.8057254660874605,0.7065422058105468,0.794132543541491,0.8697842836380005,0.8447730745778789,filtered250
attention_filtered250_f4_s456,attention,filtered,250,4,456,250,1000,0.7583809834904969,False,0.801701832562685,0.7010919967666268,0.7852863466367126,0.8698437958955765,0.8408393231506439,filtered250
attention_random250_f0_s123,attention,random,250,0,123,250,1000,0.7476985901594162,False,0.8061005808413029,0.6973596107214689,0.7845089007169008,0.8675870299339294,0.843214815565046,random250
attention_random250_f0_s42,attention,random,250,0,42,250,1200,0.779447678476572,False,0.8405854776501656,0.7472072832286358,0.8249893203377724,0.8936923652887344,0.8760585766281453,random250
attention_random250_f0_s456,attention,random,250,0,456,250,1000,0.7641458213329315,False,0.8274221323430538,0.7255169309675693,0.80028126090765,0.8655772268772125,0.86504360193121,random250
attention_random250_f1_s123,attention,random,250,1,123,250,1000,0.8289749324321747,False,0.8129778616130352,0.7063666261732578,0.8107437089085578,0.8414968729019165,0.8510251341864238,random250
attention_random250_f1_s42,attention,random,250,1,42,250,1000,0.8371004872024059,False,0.8422286212444305,0.7435306191444397,0.8319382540881634,0.8786535948514939,0.8745587196987527,random250
attention_random250_f1_s456,attention,random,250,1,456,250,1200,0.835773978382349,False,0.8357615232467651,0.7296330168843269,0.8101287662982941,0.8841433972120285,0.8627353899938583,random250
attention_random250_f2_s123,attention,random,250,2,123,250,1200,0.8421348594129086,False,0.8285633370280265,0.7238514080643654,0.8100042343139648,0.8691433280706405,0.860772168846981,random250
attention_random250_f2_s42,attention,random,250,2,42,250,1200,0.8624042421579361,False,0.8421679459512234,0.7477479353547096,0.8256509110331536,0.8831223875284195,0.8786804202120074,random250
attention_random250_f2_s456,attention,random,250,2,456,250,1200,0.8505065552890301,False,0.828588267415762,0.7301893681287766,0.8158312126994133,0.8596849530935288,0.8688402209103028,random250
attention_random250_f3_s123,attention,random,250,3,123,250,1200,0.841176800429821,False,0.8255970627069473,0.7259104087948799,0.8147124636918306,0.8633497476577758,0.8614705434617141,random250
attention_random250_f3_s42,attention,random,250,3,42,250,1200,0.836126059293747,False,0.8382064424455166,0.7413183733820915,0.818512562662363,0.8878451436758041,0.8723196659935105,random250
attention_random250_f3_s456,attention,random,250,3,456,250,1100,0.8379047363996506,False,0.8337822020053863,0.7285300269722939,0.8071633383631707,0.8822009056806565,0.8621882011350138,random250
attention_random250_f4_s123,attention,random,250,4,123,250,1000,0.7918772553093731,False,0.8322740882635117,0.7337062142789363,0.8222980443388224,0.874749168753624,0.8669351220173483,random250
attention_random250_f4_s42,attention,random,250,4,42,250,1200,0.8089137179777026,False,0.8509643718600273,0.7575525484979153,0.8252381302416325,0.9068505108356476,0.8836682854924257,random250
