cell,fold,seed,val,dice,iou
all,0,123,0.7464834712445736,0.8216879479587078,0.7187250711023807
all,0,42,0.781087338924408,0.8415337257087231,0.7479754202067852
all,0,456,0.749125512316823,0.8184405967593193,0.7167368201538921
all,1,123,0.8135495148599148,0.8275930553674697,0.7198459096252918
all,1,42,0.8274098299443722,0.8325379073619843,0.7270439073443413
all,1,456,0.8306096382439137,0.8349941849708558,0.7334178887307644
all,2,123,0.8293721303343773,0.8105133920907974,0.703842587582767
all,2,42,0.8428528271615505,0.8248487867414951,0.7229539670050145
all,2,456,0.851321917027235,0.8243917793035507,0.7203037034720182
all,3,123,0.8188679218292236,0.8200378477573395,0.7153123617172241
all,3,42,0.8349032402038574,0.8353288739919662,0.7384793788194657
all,3,456,0.8174298144876957,0.8268914759159088,0.7228819899260998
all,4,123,0.7844260428100824,0.828748744726181,0.7262739062309265
all,4,42,0.8091655881144106,0.8491947650909424,0.753040012717247
all,4,456,0.7818535452242941,0.8253031969070435,0.719766341894865
antifiltered250,0,123,0.7367700692266226,0.7846850998699665,0.6616614099591971
antifiltered250,0,42,0.7483486197888851,0.7956910833716393,0.6741692908108234
antifiltered250,0,456,0.7354764174669981,0.80640829205513,0.6794066399335861
antifiltered250,1,123,0.7790148369967937,0.7932417742908001,0.6738825615495443
antifiltered250,1,42,0.8156039454042912,0.8394013866782188,0.7332169055938721
antifiltered250,1,456,0.7945880070328712,0.7969952210783958,0.6736138969659805
antifiltered250,2,123,0.8301178403198719,0.8030330136418342,0.6792206659913063
antifiltered250,2,42,0.8457996286451817,0.818185193836689,0.7019049674272537
antifiltered250,2,456,0.8471057489514351,0.8312374651432037,0.7152167931199074
antifiltered250,3,123,0.7587731517851353,0.7652352191507816,0.6374234117567539
antifiltered250,3,42,0.7845153249800205,0.784815176576376,0.6645082652568817
antifiltered250,3,456,0.773186095058918,0.7796219110488891,0.6508050620555877
antifiltered250,4,123,0.754629853181541,0.7765302039682865,0.6513700287789106
antifiltered250,4,42,0.8087014146149158,0.8206478103995323,0.7067734114825726
antifiltered250,4,456,0.7458895901218057,0.7811052784323692,0.6508910663425922
filtered250,0,123,0.739348828792572,0.796164758503437,0.6913024231791496
filtered250,0,42,0.73410265147686,0.8075385961681605,0.7092177984304726
filtered250,0,456,0.7503493186086416,0.7891748264431954,0.6842424139380455
filtered250,1,123,0.8313443027436733,0.8058338563889265,0.7030015213415026
filtered250,1,42,0.8258224837481976,0.8021775044500827,0.6993215117603541
filtered250,1,456,0.8196908421814442,0.7970115024596452,0.6916438875719905
filtered250,2,123,0.839900366961956,0.798654585701297,0.6977112054461031
filtered250,2,42,0.8486179150640965,0.8109933525323868,0.712526497989893
filtered250,2,456,0.8448934238404036,0.8089306272566319,0.7099035507068038
filtered250,3,123,0.7998377196490765,0.8055349212139845,0.7031464535742998
filtered250,3,42,0.8104656301438808,0.8196574211120605,0.7238031396642327
filtered250,3,456,0.7896265275776386,0.7967956371605396,0.6932394739240408
filtered250,4,123,0.7566639113065321,0.8020289197564126,0.7002272760495544
filtered250,4,42,0.7658632905222476,0.8057254660874605,0.7065422058105468
filtered250,4,456,0.7583809834904969,0.801701832562685,0.7010919967666268
random250,0,123,0.7476985901594162,0.8061005808413029,0.6973596107214689
random250,0,42,0.779447678476572,0.8405854776501656,0.7472072832286358
random250,0,456,0.7641458213329315,0.8274221323430538,0.7255169309675693
random250,1,123,0.8289749324321747,0.8129778616130352,0.7063666261732578
random250,1,42,0.8371004872024059,0.8422286212444305,0.7435306191444397
random250,1,456,0.835773978382349,0.8357615232467651,0.7296330168843269
random250,2,123,0.8421348594129086,0.8285633370280265,0.7238514080643654
random250,2,42,0.8624042421579361,0.8421679459512234,0.7477479353547096
random250,2,456,0.8505065552890301,0.828588267415762,0.7301893681287766
random250,3,123,0.841176800429821,0.8255970627069473,0.7259104087948799
random250,3,42,0.836126059293747,0.8382064424455166,0.7413183733820915
random250,3,456,0.8379047363996506,0.8337822020053863,0.7285300269722939
random250,4,123,0.7918772553093731,0.8322740882635117,0.7337062142789363
random250,4,42,0.8089137179777026,0.8509643718600273,0.7575525484979153
random250,4,456,0.7803090689703822,0.8332574814558029,0.7224752753973007
real,0,123,0.6934390924870968,0.7912586987018585,0.6822807373479008
real,0,42,0.7097800341434777,0.8112195529043674,0.7076318059116602
real,0,456,0.7053090361878276,0.7995381793938577,0.6985857475781814
real,1,123,0.83151014149189,0.8237587854266166,0.7152903094887734
real,1,42,0.8319871500134468,0.8257880300283432,0.7162509009242057
real,1,456,0.8252103887498379,0.8016629800200462,0.6929835826158524
real,2,123,0.841122156009078,0.8313325278460979,0.7323194146156311
real,2,42,0.8363752011209726,0.7988994929939508,0.6932624166831374
real,2,456,0.8156391698867083,0.7878179356455803,0.6662540569901466
real,3,123,0.7588173151016235,0.7969001978635788,0.6787197187542915
real,3,42,0.7991320677101612,0.8188856393098831,0.7081679031252861
real,3,456,0.8247943185269833,0.8132708005607128,0.7111505158245564
real,4,123,0.7540436740964651,0.8123348645865918,0.7045255474746227
real,4,42,0.7353062173487752,0.7902724802494049,0.6774314511567354
real,4,456,0.7284217770211399,0.7872051905142143,0.6787524191313423
uall,0,42,0.7748,0.8354,0.7375
urandom50,0,42,0.7831,0.813,0.713
ufiltered50,0,42,0.7459,0.809,0.709
uantifiltered50,0,42,0.7705,0.8489,0.7484
umiddle50,0,42,0.7691,0.8362,0.7508
uall,0,123,0.7513,0.8313,0.7231
urandom50,0,123,0.7419,0.8282,0.7285
ufiltered50,0,123,0.735,0.8109,0.7146
uantifiltered50,0,123,0.764,0.8336,0.7307
umiddle50,0,123,0.7461,0.7988,0.6912
uall,0,456,0.7646,0.8279,0.7279
urandom50,0,456,0.7352,0.8365,0.7286
ufiltered50,0,456,0.7466,0.7978,0.6952
uantifiltered50,0,456,0.7557,0.8317,0.7335
umiddle50,0,456,0.7607,0.8036,0.6993
uall,1,42,0.838,0.8367,0.7427
urandom50,1,42,0.8534,0.8242,0.7247
ufiltered50,1,42,0.8449,0.8131,0.7124
uantifiltered50,1,42,0.8585,0.8597,0.7727
umiddle50,1,42,0.8292,0.8232,0.7241
uall,1,123,0.8165,0.8137,0.7094
urandom50,1,123,0.8396,0.8421,0.7403
ufiltered50,1,123,0.8374,0.8101,0.7074
uantifiltered50,1,123,0.832,0.8485,0.7492
umiddle50,1,123,0.8344,0.8181,0.7166
uall,1,456,0.8389,0.8354,0.7359
urandom50,1,456,0.8363,0.8314,0.7383
ufiltered50,1,456,0.843,0.8105,0.7114
uantifiltered50,1,456,0.8334,0.8427,0.7413
umiddle50,1,456,0.8296,0.7998,0.696
uall,2,42,0.8721,0.8524,0.7517
urandom50,2,42,0.8663,0.8213,0.7314
ufiltered50,2,42,0.8522,0.8259,0.725
uantifiltered50,2,42,0.868,0.8335,0.7386
umiddle50,2,42,0.856,0.8273,0.7333
uall,2,123,0.8552,0.8208,0.7208
urandom50,2,123,0.8668,0.8205,0.717
ufiltered50,2,123,0.8429,0.8049,0.7038
uantifiltered50,2,123,0.8554,0.8318,0.7296
umiddle50,2,123,0.8497,0.8292,0.7354
uall,2,456,0.8568,0.8555,0.7532
urandom50,2,456,0.8662,0.8299,0.7344
ufiltered50,2,456,0.8473,0.8279,0.7283
uantifiltered50,2,456,0.8567,0.8224,0.7173
umiddle50,2,456,0.8284,0.8114,0.7123
uall,3,42,0.8594,0.8644,0.7762
urandom50,3,42,0.8419,0.8607,0.7718
ufiltered50,3,42,0.8221,0.8247,0.7268
uantifiltered50,3,42,0.8424,0.8366,0.7348
umiddle50,3,42,0.8407,0.8252,0.7316
uall,3,123,0.8471,0.842,0.7449
urandom50,3,123,0.8459,0.8275,0.7324
ufiltered50,3,123,0.8204,0.8082,0.707
uantifiltered50,3,123,0.8444,0.835,0.7295
umiddle50,3,123,0.8346,0.8202,0.7146
uall,3,456,0.8368,0.8374,0.7379
urandom50,3,456,0.8497,0.8354,0.7439
ufiltered50,3,456,0.8149,0.8107,0.7083
uantifiltered50,3,456,0.8432,0.8416,0.739
umiddle50,3,456,0.8343,0.8151,0.7157
uall,4,42,0.8028,0.8637,0.7701
urandom50,4,42,0.7773,0.8257,0.7318
ufiltered50,4,42,0.7695,0.826,0.7296
uantifiltered50,4,42,0.7939,0.8315,0.7319
umiddle50,4,42,0.7523,0.7925,0.6788
uall,4,123,0.8044,0.8327,0.7363
urandom50,4,123,0.779,0.813,0.7155
ufiltered50,4,123,0.7654,0.8034,0.7004
uantifiltered50,4,123,0.8066,0.8391,0.7337
umiddle50,4,123,0.7731,0.821,0.7232
uall,4,456,0.7951,0.8381,0.7417
urandom50,4,456,0.7774,0.8472,0.7481
ufiltered50,4,456,0.7613,0.801,0.6995
uantifiltered50,4,456,0.81,0.841,0.7386
umiddle50,4,456,0.7583,0.8073,0.7088
