arch,cell,condition,k,n_runs,n_folds,n_seeds,dice_mean,dice_std,dice_ci95,iou_mean,iou_std,iou_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,pooled_dice_mean,pooled_dice_std,pooled_dice_ci95,dice_seed_std,val_dice_mean
attention,real,real,0,15,5,3,0.806009690403007,0.014582857523222604,0.008075717319631045,0.6975737685081549,0.018297033821579343,0.010132559595778735,0.7971481254262229,0.020031580293619334,0.011093119414980944,0.8415305705616871,0.01600930522079548,0.00886565772455461,0.844458187040765,0.013913479477323172,0.007705028113483179,0.014231098215467999,0.7793925159930323
attention,all,all,1003,15,5,3,0.8281364187101522,0.009591301792438929,0.005311485892230711,0.725773284435272,0.012809935223446381,0.0070939056753862376,0.8042746710404753,0.011249933600197872,0.006230005571619982,0.8851204121112823,0.00961047478030938,0.005322103539010014,0.8616444685159927,0.008480591118134317,0.004696394822781749,0.008998502095464597,0.8078972221817822
attention,random250,random,250,15,5,3,0.8318984930713971,0.011391548914788375,0.006308429518843105,0.7307263763993979,0.01568607140204147,0.008686656802119113,0.8143644495060047,0.011778263966636353,0.006522585176401816,0.8749118759234747,0.015818317515245556,0.008759892258555235,0.8654383712116392,0.010860633537583538,0.006014418382814116,0.011506212402013867,0.8162996522150934
attention,filtered250,filtered,250,15,5,3,0.8031949205197937,0.007333138636243846,0.00406095681848801,0.7017947570769076,0.009879144425261664,0.005470887829163375,0.7935373498397531,0.014832020325503322,0.008213699080378684,0.8576819202303887,0.014771193835978335,0.008180014493241556,0.8414653834116559,0.0073334698209534645,0.004061140222467045,0.006816258920971488,0.7943272130738478
attention,antifiltered250,antifiltered,250,15,5,3,0.7984556086361408,0.021330498765437,0.011812436488671214,0.6769376251349846,0.02692556918504965,0.0149108832108083,0.7649584347258014,0.02731776181485601,0.015128072249932845,0.8645926553010941,0.015957700893328985,0.008837080200538795,0.8241028955947862,0.016399767110775895,0.009081888311910294,0.01700294146399212,0.7839013695716858
attention,uall,all,106,15,5,3,0.8391663370778164,0.014505231922064907,0.008032729694557036,0.7406056652466456,0.017599001390842094,0.00974600212022279,0.823138647377491,0.015296232477117415,0.00847077120131268,0.8769802117347717,0.01963423825675285,0.010873078729276496,0.8715430286521397,0.010171261405894371,0.005632656821015431,0.01338311168490414,0.820921873986287
attention,urandom50,random,50,15,5,3,0.8304534815531225,0.012708769926879616,0.0070378822015006275,0.7333013329150464,0.014651338175810316,0.008113640640988436,0.8086818822985514,0.010576835843776883,0.005857256458445312,0.8731803666613996,0.02148767445724817,0.01189947748557893,0.8682927685532229,0.01006958680306162,0.005576351302720714,0.012160389821093362,0.8173200802455164
attention,ufiltered50,filtered,50,15,5,3,0.8122656898821394,0.009566355090259385,0.005297670869040763,0.7119107051317891,0.010956249756608222,0.00606736887998421,0.793224520869553,0.011392342060649992,0.006308868748381036,0.868692669272423,0.008424089275262977,0.004665105145135202,0.8526408563189741,0.009048495700921227,0.0050108898980992375,0.008815117731001604,0.8032547664673378
attention,uantifiltered50,antifiltered,50,15,5,3,0.8385190382103124,0.009091137496300299,0.005034504137279353,0.7379116141051054,0.012437855687874198,0.006887854896592334,0.8120730894804,0.012283202773288092,0.00680221096714534,0.8837210949261982,0.014345391337572443,0.007944212929272169,0.8705808288719408,0.007805295854673247,0.0043224287707708245,0.006496015129742969,0.8223126989478866
attention,umiddle50,middle,50,15,5,3,0.8152632832061499,0.012676512519230335,0.007020018644565722,0.7154576892328137,0.018865679355090068,0.010447464995930281,0.7950164537023132,0.016899076760908058,0.009358396779678698,0.8646170913924773,0.0180848155195613,0.010015037017338904,0.8577954943654792,0.01314733122740832,0.007280749354578106,0.012351945205660304,0.8064299490930413
